,ID,Label,,Alt Label 1,Alt Label 2,Definition,Definition Source,RDF Type,Class Type,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Equivalent to definedByProbe,Equivalent to definedByProcess,Equivalent to definedByDependence,Equivalent to definedByPurpose,Equivalent,Equivalent ,Disjoint Classes,Individual,Property Assertions,Super Property,Domain,Range
,ID,A rdfs:label,,A http://www.w3.org/2004/02/skos/core#altLabel,A http://www.w3.org/2004/02/skos/core#altLabel,A IAO:0000115,A IAO:0000119,TYPE,CLASS_TYPE,CI,CI,CI,CI,CI,EC definedByProbe some %,EC definedByProcess some %,EC definedByDependence some %,EC definedByPurpose some  %,EC %,EC %,DC %,TI %,I 'hasTechnique',SP %,DOMAIN,RANGE
,,,,,,,,,,,,,,,,,,,,,,,,,,
Base IRI,,http://purl.org/pan-science/PaNET/,,,,,,,,,,,,,,,,,,,,,,,,
Root name,,PaNET,,,,,,,,,,,,,,,,,,,,,,,,
ID number,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,http://purl.org/pan-science/PaNET/PaNET01049,resonant scattering,,,,,,owl:Class,,,,,,,,,,,('resonance phenomenon' and 'scattering technique'),,,,,,,
1050,http://purl.org/pan-science/PaNET/PaNET01050,nuclear resonance,,,,,,owl:Class,,,,,,,,nuclear_resonance,,,,,,,,,,
1051,http://purl.org/pan-science/PaNET/PaNET01051,muon spin resonance,,MuSR,,,https://en.wikipedia.org/wiki/Muon_spin_spectroscopy,owl:Class,,,,,,,,muon_spin_resonance,,,,,,,,,,
1052,http://purl.org/pan-science/PaNET/PaNET01052,spin echo technique,,,,,https://en.wikipedia.org/wiki/Spin_echo,owl:Class,,,,,,,,spin_echo_technique,,,,,,,,,,
1053,http://purl.org/pan-science/PaNET/PaNET01053,electronic excitation,,,,,,owl:Class,,,,,,,,electronic_excitation,,,,,,,,,,
1054,http://purl.org/pan-science/PaNET/PaNET01054,atomic core excitation,,,,,,owl:Class,,,,,,,,atomic_core_excitation,,,,,,,,,,
1055,http://purl.org/pan-science/PaNET/PaNET01055,photo excitation,,,,,,owl:Class,,,,,,,,photo_excitation,,,,,,,,,,
1056,http://purl.org/pan-science/PaNET/PaNET01056,versus incident energy,,,,,,owl:Class,,,,,,,,,versus_incident_energy,,,,,,,,,
1057,http://purl.org/pan-science/PaNET/PaNET01057,versus emitted energy,,,,,,owl:Class,,,,,,,,,versus_emitted_energy,,,,,,,,,
1058,http://purl.org/pan-science/PaNET/PaNET01058,versus emission momentum,,,,,,owl:Class,,,,,,,,,versus_emission_momentum,,,,,,,,,
1059,http://purl.org/pan-science/PaNET/PaNET01059,versus energy loss,,,,,,owl:Class,,,,,,,,,versus_energy_loss,,,,,,,,,
1060,http://purl.org/pan-science/PaNET/PaNET01060,versus emitted polarization,,,,,,owl:Class,,,,,,,,,versus_emitted_polarization,,,,,,,,,
1061,http://purl.org/pan-science/PaNET/PaNET01061,versus photon linear polarization,,,,,,owl:Class,subclass,versus polarization,photon probe,,,,,,,,,,,,,,,
1062,http://purl.org/pan-science/PaNET/PaNET01062,versus photon circular polarization,,,,,,owl:Class,subclass,versus polarization,photon probe,,,,,,,,,,,,,,,
1063,http://purl.org/pan-science/PaNET/PaNET01063,versus time ultrafast,,,,,,owl:Class,,,,,,,,,versus_time_ultrafast,,,,,,,,,
1064,http://purl.org/pan-science/PaNET/PaNET01064,versus sample temperature,,,,,,owl:Class,,,,,,,,,versus_sample_temperature,,,,,,,,,
